Name: '우촌관' | type: university | levels: 8 | center: (37.448838, 127.167686) | pts: 19
Name: '산학협력관' | type: university | levels: 5 | center: (37.448470, 127.169430) | pts: 15
Name: '남관' | type: university | levels: 5 | center: (37.448113, 127.169626) | pts: 15
Name: '미래창의관' | type: university | levels: 3 | center: (37.447395, 127.168393) | pts: 9
Name: '체육관' | type: university | levels: 1 | center: (37.447255, 127.167803) | pts: 5
Name: '동관' | type: university | levels: 10 | center: (37.449940, 127.168085) | pts: 7
Name: '국제관' | type: university | levels: 8 | center: (37.449018, 127.169031) | pts: 9
Name: '실습관' | type: school | levels: 6 | center: (37.449406, 127.166777) | pts: 9
Name: '서관' | type: university | levels: 6 | center: (37.449835, 127.166699) | pts: 25
Name: '' | type: school | levels: 6 | center: (37.450049, 127.168971) | pts: 5
Name: '숭신여자중학교' | type: school | levels: 6 | center: (37.449651, 127.169019) | pts: 7
Name: '숭신여자중학교' | type: school | levels: 6 | center: (37.449351, 127.169664) | pts: 5
Name: '' | type: school | levels: 6 | center: (37.450104, 127.169738) | pts: 5
Name: '숭신여자고등학교' | type: school | levels: 6 | center: (37.449788, 127.169635) | pts: 5
Name: '' | type: university | levels: 4 | center: (37.448839, 127.169624) | pts: 5
Name: '유치원' | type: kindergarten | levels: 3 | center: (37.447746, 127.169334) | pts: 9
Name: '도서관' | type: university | levels: 6 | center: (37.449016, 127.167691) | pts: 12
Name: '우촌학사' | type: dormitory | levels: 10 | center: (37.447201, 127.168485) | pts: 7
